Penghasilan;Papan;Sumber Air;WC
10;0;0;0
10;9;0;0
10;9;4;0
0;0;4;0
0;0;0;0
10;9;4;3
10;0;4;0
0;9;0;3
10;0;4;0
0;9;4;0
0;9;4;3
0;0;0;0
10;9;0;0
10;9;0;3
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;0;0;0
0;9;0;0
10;9;4;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;9;0;0
0;0;0;0
10;9;0;0
10;0;0;0
0;0;0;0
0;0;0;0
0;0;4;0
0;0;4;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
10;9;0;0
0;0;0;0
0;0;0;0
0;9;0;0
10;9;0;0
0;0;0;0
0;0;4;0
0;0;4;0
0;0;0;0
10;0;0;0
0;9;0;0
0;9;0;0
0;9;0;3
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;4;0
0;9;4;0
0;0;0;0
10;9;4;3
0;0;4;0
0;9;0;0
0;0;4;0
10;0;0;0
0;9;4;0
0;9;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;9;0;0
0;0;0;0
0;9;0;0
0;0;0;0
0;0;0;0
0;9;0;0
0;9;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;9;0;3
0;0;0;0
10;0;0;0
0;9;0;0
0;0;0;0
0;9;0;0
10;0;0;0
0;9;0;0
0;9;0;0
10;0;0;3
0;0;0;0
0;9;4;0
0;0;0;0
0;9;4;0
0;0;0;0
0;9;0;0
0;0;4;0
0;9;0;0
0;0;0;0
0;0;0;0
0;0;0;3
0;0;0;0
0;9;0;0
0;0;0;0
0;0;0;0
10;9;0;3
0;0;0;0
